상영내역,,,,,,,,,,
상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회
2015-03-04,07관,"08:40, 빅 히어로(디지털), 6,000원","10:55, 기생수 파트1(디지털), 8,000원","13:15, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","15:50, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","18:30, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:45, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-04,08관,"08:30, 포커스(디지털), 6,000원","10:45, 센과 치히로의 행방불명(디지털), 8,000원","13:20, 빅 히어로(디지털), 8,000원","15:40, 빅 히어로(디지털), 8,000원","17:55, 이미테이션 게임(디지털), 9,000원","20:20, 이미테이션 게임(디지털), 9,000원","22:45, 이미테이션 게임(디지털), 9,000원",,
2015-03-05,01관,"08:20, 이미테이션 게임(디지털), 6,000원","10:45, 이미테이션 게임(디지털), 8,000원","13:10, 이미테이션 게임(디지털), 8,000원","15:35, 이미테이션 게임(디지털), 8,000원","18:00, 이미테이션 게임(디지털), 9,000원","20:25, 이미테이션 게임(디지털), 9,000원",,"25:20, 이미테이션 게임(디지털), 6,000원",
2015-03-05,02관,"08:20, 헬머니(디지털), 6,000원","10:35, 헬머니(디지털), 8,000원","12:50, 헬머니(디지털), 8,000원","15:05, 헬머니(디지털), 8,000원","17:20, 헬머니(디지털), 9,000원","19:40, 헬머니(디지털), 9,000원","22:05, 헬머니(디지털), 9,000원","24:30, 헬머니(디지털), 8,000원",
2015-03-05,03관,"09:00, 킹스맨 : 시크릿 에이전트(디지털), 7,000원","11:35, 킹스맨 : 시크릿 에이전트(디지털), 8,000원","14:20, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","17:00, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","19:50, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","22:30, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","25:05, 킹스맨 : 시크릿 에이전트(디지털), 8,000원",,
2015-03-05,04관,"08:30, 조선명탐정 : 사라진 놉의 딸(디지털), 6,000원","11:10, 빅 히어로(디지털), 8,000원","13:25, 센과 치히로의 행방불명(디지털), 8,000원","16:00, 조선명탐정 : 사라진 놉의 딸(디지털), 9,000원","18:35, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","21:10, 킹스맨 : 시크릿 에이전트(디지털), 9,000원","23:45, 기생수 파트1(디지털), 8,000원",,
2015-03-05,05관 [CGV아트하우스],"08:40, 이다(디지털), 6,000원","10:30, 버드맨(디지털), 9,000원","13:00, 제네시스: 세상의 소금(디지털), 7,000원","15:20, 버드맨(디지털), 9,000원","17:50, 조류인간(디지털), 8,000원","20:10, 버드맨(디지털), 9,000원","22:40, 이다(디지털), 9,000원","24:40, 와일드(디지털), 8,000원",
2015-03-05,06관,"08:50, 세인트 빈센트(디지털), 7,000원","11:00, 그레이의 50가지 그림자(디지털), 9,000원","13:35, 세인트 빈센트(디지털), 8,000원","15:45, 그레이의 50가지 그림자(디지털), 9,000원","18:20, 세인트 빈센트(디지털), 9,000원","20:30, 그레이의 50가지 그림자(디지털), 9,000원","23:05, 세인트 빈센트(디지털), 8,000원","25:15, 그레이의 50가지 그림자(디지털), 8,000원",
2015-03-05,07관,"09:10, 버드맨(디지털), 6,000원","11:40, 버드맨(디지털), 8,000원","14:10, 버드맨(디지털), 8,000원","16:40, 버드맨(디지털), 9,000원","19:10, 버드맨(디지털), 9,000원","21:40, 버드맨(디지털), 9,000원","24:10, 버드맨(디지털), 8,000원",,
2015-03-05,08관,"09:50, 순수의 시대(디지털), 6,500원","12:15, 순수의 시대(디지털), 8,000원","14:40, 순수의 시대(디지털), 8,000원","17:10, 순수의 시대(디지털), 9,000원","19:30, 순수의 시대(디지털), 9,000원","21:55, 순수의 시대(디지털), 9,000원","24:20, 순수의 시대(디지털), 8,000원",,
2015-03-06,01관,"09:20, 이미테이션 게임(디지털), 6,000원","11:45, 이미테이션 게임(디지털), 10,000원","14:10, 이미테이션 게임(디지털), 10,000원","16:35, 이미테이션 게임(디지털), 10,000원","19:10, 이미테이션 게임(디지털), 10,000원","21:35, 이미테이션 게임(디지털), 10,000원","24:00, 이미테이션 게임(디지털), 9,000원",,
2015-03-06,02관,"08:30, 헬머니(디지털), 6,000원","10:45, 헬머니(디지털), 10,000원","13:00, 헬머니(디지털), 10,000원","15:15, 헬머니(디지털), 10,000원","17:30, 헬머니(디지털), 10,000원","19:50, 헬머니(디지털), 10,000원","22:15, 헬머니(디지털), 10,000원","24:30, 헬머니(디지털), 9,000원",
